feature,target,spearman,n
dtvt_post_boundary_std,lin_rmse,0.14957932073912183,787
dtvt_post_boundary_std,formula_rmse,0.07006536432046244,787
dtvt_post_pre_ratio,last_rmse,0.04200428720104996,787
dtvt_post_pre_ratio,lin_rmse,-0.010924187535839331,787
dtvt_post_pre_ratio,formula_rmse,0.023141183574505345,787
gr_pre_boundary_std,last_rmse,0.1061794247044049,787
gr_pre_boundary_std,lin_rmse,0.31899816967425876,787
gr_pre_boundary_std,formula_rmse,0.051955495324825955,787
gr_post_boundary_std,last_rmse,0.0683354926916463,787
gr_post_boundary_std,lin_rmse,0.2536924091653953,787
gr_post_boundary_std,formula_rmse,0.05209906959344159,787
b_med,last_rmse,-0.029764613282658958,787
b_med,lin_rmse,-0.05620935250209527,787
b_med,formula_rmse,-0.156159112869729,787
b_std,last_rmse,0.061756851757007354,787
b_std,lin_rmse,0.07487294711198586,787
b_std,formula_rmse,-0.03076856645228672,787
b_mad,last_rmse,0.03673713454566896,787
b_mad,lin_rmse,0.07324501181942554,787
b_mad,formula_rmse,0.3016361192264202,787
b_quartile_diff,last_rmse,-0.04120588440296402,787
b_quartile_diff,lin_rmse,-0.039113525382612674,787
b_quartile_diff,formula_rmse,0.2002164399978558,787
ncc_self_max,last_rmse,0.028826867255741323,787
ncc_self_max,lin_rmse,0.11166784161887176,787
ncc_self_max,formula_rmse,0.020306404032762897,787
ncc_self_p90,last_rmse,0.032034713264558826,787
ncc_self_p90,lin_rmse,0.1061039940529923,787
ncc_self_p90,formula_rmse,0.04257471893465924,787
x_med,last_rmse,-0.020903876252562157,811
x_med,lin_rmse,-0.05594706758554408,811
x_med,formula_rmse,0.1141299787243568,811
y_med,last_rmse,-0.037605334906340604,811
y_med,lin_rmse,-0.03398424608024902,811
y_med,formula_rmse,0.2752961818353207,811
tail_50_dtvt_mean,last_rmse,0.020879249862218528,811
tail_50_dtvt_mean,lin_rmse,0.07377442713677969,811
tail_50_dtvt_mean,formula_rmse,-0.08941795608681524,811
tail_50_dtvt_std,last_rmse,7.322868459381295e-05,811
tail_50_dtvt_std,lin_rmse,0.16052880649165163,811
tail_50_dtvt_std,formula_rmse,0.022403185562567447,811
tail_100_slope_md,last_rmse,-0.007299298153493744,811
tail_100_slope_md,lin_rmse,0.07117506927463713,811
tail_100_slope_md,formula_rmse,-0.0810225627105039,811
tail_100_slope_resid_std,last_rmse,0.031192765606394078,811
tail_100_slope_resid_std,lin_rmse,0.23190032641250632,811
tail_100_slope_resid_std,formula_rmse,-0.03109654489583664,811
tail_100_gr_std,last_rmse,0.13392919532534275,811
tail_100_gr_std,lin_rmse,0.38100721959041967,811
tail_100_gr_std,formula_rmse,0.07273896515829398,811
tail_50_dir_sign,last_rmse,-0.0015269879217729512,811
tail_50_dir_sign,lin_rmse,0.01778856221983995,811
tail_50_dir_sign,formula_rmse,-0.0856004415042847,811
n_visible_fp,last_rmse,-0.05271167918023659,811
n_visible_fp,lin_rmse,-0.03461069620604646,811
n_visible_fp,formula_rmse,0.035159106194227026,811
hidden_len,last_rmse,0.1870443553597311,811
hidden_len,lin_rmse,0.2796798972910131,811
hidden_len,formula_rmse,-0.056623494915613005,811
visible_ratio,last_rmse,-0.17804399515949307,811
visible_ratio,lin_rmse,-0.26914539046103375,811
visible_ratio,formula_rmse,0.05221720458700798,811
